program_id,sia_code,education_level,name,mandatory_disciplinary_credits,mandatory_fundamental_credits,optional_disciplinary_credits,optional_fundamental_credits,free_choice_credits,department,faculty,campus
1,2879,Profesional - Pregrado,Ingeniería de Sistemas y Computación,54,15,27,36,33,Ingeniería de sistemas e industrial,Ingeniería,Bogotá
2,2545,Profesional - Pregrado,Ingeniería Electrónica,72,51,6,9,34,Ingeniería de eléctrica y electrónica,Ingeniería,Bogotá
3,2548,Profesional - Pregrado,Ingeniería Mecatrónica,81,47,6,9,36,Ingeniería Mecánica y Mecatrónica,Ingeniería,Bogotá
